Title,Genre,Metascore,imdbVotes,imdbRating,criticscore,criticcount,criticpos,criticmixed,criticneg,userscore,usercount,userpos,usermixed,userneg
Happy Valley,"Crime, Drama",0,14382,8.5,83,9,9,-1,0,8,83,77,1,5
Mushi-Shi,"Animation, Drama, Fantasy",0,7760,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mr. Show with Bob and David,Comedy,0,6881,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Naruto: Shippûden,"Animation, Action, Adventure",0,46406,8.6,-1,-1,-1,-1,0,8,89,78,2,9
Brigada,"Crime, Drama",0,6733,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Roots,"Drama, History, War",0,11689,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Doctor Who,"Adventure, Drama, Family",0,151514,8.8,70,9,7,2,0,8,520,476,27,17
Yu Yu Hakusho: Ghost Files,"Animation, Action, Comedy",0,7439,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
My Mad Fat Diary,"Comedy, Drama, Romance",0,10891,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Borgen,Drama,0,11561,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Top Gear,"Comedy, Talk-Show",0,81037,8.8,-1,-1,-1,-1,0,8,64,57,2,5
Red Dwarf,"Comedy, Sci-Fi",0,25715,8.4,-1,-1,-1,-1,0,8,30,27,1,2
The Get Down,"Drama, Music, Musical",0,9929,8.6,69,31,20,11,0,7,101,78,6,17
The Kingdom,"Comedy, Drama, Fantasy",0,13715,8.5,72,12,10,2,0,8,32,27,2,3
Bleak House,Drama,0,6531,8.5,93,14,14,-1,0,9,58,54,1,3
24: Live Another Day,"Action, Crime, Drama",0,35237,8.5,70,40,30,10,0,8,135,116,9,10
Summer Heights High,"Comedy, Drama, Family",0,11330,8.5,67,13,9,3,-1,8,58,52,-1,6
Hellsing Ultimate,"Animation, Action, Fantasy",0,12440,8.5,-1,-1,-1,-1,0,8,17,15,2,-1
Trailer Park Boys,"Comedy, Crime, Drama",0,25413,8.5,-1,-1,-1,-1,0,9,50,47,2,1
Southland,"Crime, Drama, Thriller",0,20837,8.5,69,22,16,5,-1,8,122,107,10,5
I Love Lucy,"Comedy, Family",0,16968,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Supernatural,"Drama, Fantasy, Horror",0,291984,8.6,59,22,12,4,-1,8,822,753,34,35
Samurai Jack,"Animation, Action, Adventure",0,26641,8.4,-1,-1,-1,-1,0,8,21,19,-1,2
The Inbetweeners,Comedy,0,57744,8.4,62,9,5,3,-1,4,38,15,3,20
Terriers,"Crime, Drama, Mystery",0,8684,8.5,75,24,21,2,-1,8,109,99,8,2
Fringe,"Drama, Mystery, Sci-Fi",0,181582,8.5,67,25,16,9,0,8,497,431,37,29
Lost,"Adventure, Drama, Fantasy",0,387136,8.4,86,27,26,1,0,9,737,695,22,20
M*A*S*H,"Comedy, Drama, War",0,37188,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Prison Break,"Action, Crime, Drama",0,340355,8.5,65,32,21,9,-1,9,626,576,25,25
Extras,"Comedy, Drama",0,41668,8.4,81,24,21,2,-1,8,85,75,5,5
BoJack Horseman,"Animation, Comedy, Drama",0,25961,8.4,59,13,6,5,-1,8,420,385,19,16
Boston Legal,"Comedy, Crime, Drama",0,35314,8.4,69,22,16,5,-1,8,27,23,2,2
Broad City,Comedy,0,15015,8.5,75,14,12,2,0,8,104,87,5,12
Star Trek,"Action, Adventure, Mystery",0,52371,8.4,-1,-1,-1,-1,0,8,36,27,8,1
The League of Gentlemen,"Comedy, Horror",0,6651,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Stargate SG-1,"Action, Adventure, Drama",0,65299,8.4,48,8,2,4,-1,7,105,87,2,16
Pushing Daisies,"Comedy, Drama, Fantasy",0,45887,8.4,86,30,30,-1,0,8,248,203,22,23
Scrubs,"Comedy, Drama",0,197348,8.4,79,21,17,3,-1,8,195,182,6,7
A Bit of Fry and Laurie,Comedy,0,7207,8.4,-1,-1,-1,-1,0,8,11,10,-1,1
Olive Kitteridge,Drama,0,10754,8.4,89,34,33,1,0,8,106,92,3,11
The Dick Van Dyke Show,"Comedy, Family",0,6123,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
